sexe;prenom;nombre
2;GÉRALDINE;7685
2;ETIENNETTE;7674
1;JOFFREY;7643
1;MAMADOU;7624
2;LOU-ANNE;7623
2;MARIE-AGNÈS;7616
2;NADÈGE;7585
2;MARIE-ANTOINETTE;7575
2;GRAZIELLA;7548
1;ERWANN;7537
2;PHILIPPINE;7516
1;GAËL;7514
1;ILYAN;7504
1;ELOUAN;7499
2;ELIETTE;7470
1;FRANCISCO;7466
1;NOLANN;7464
2;NAIMA;7455
2;ALMA;7438
2;RANIA;7411
2;JENNA;7408
1;LINO;7373
1;NILS;7373
1;DONOVAN;7367
1;ILYAS;7361
2;ANAËLLE;7361
1;LIVIO;7328
2;GUYLAINE;7323
2;MARIE-ANNICK;7304
1;KENNY;7293
2;CELINA;7293
1;NOLHAN;7292
2;FATMA;7271
2;ZELIE;7251
1;LEONCE;7249
1;FRANÇOIS-XAVIER;7247
1;AUBIN;7236
2;ELÉNA;7233
2;MAYLIS;7228
2;PALOMA;7216
1;LENY;7196
1;TIM;7163
2;LILI;7162
1;DJAMEL;7137
2;LOLITA;7136
2;MAËVA;7135
2;NAWEL;7111
1;FARES;7102
2;MINA;7101
2;GISELLE;7073
1;JOAN;7063
1;FLORENTIN;7037
2;SAFIA;6990
2;LEA;6984
1;CASIMIR;6962
2;BERENGERE;6962
1;HADRIEN;6940
2;LAURENE;6921
2;LEÏLA;6921
1;BILEL;6914
1;ERICK;6901
2;DJAMILA;6866
1;FELICIEN;6851
1;RAFAËL;6850
1;PROSPER;6841
2;MUGUETTE;6832
1;TIMOTHÉ;6828
2;KIMBERLEY;6826
2;ILYANA;6792
2;ZOHRA;6785
2;THAIS;6753
1;ANDRÉA;6749
1;NAHIL;6724
1;NATHANAËL;6716
1;AMAR;6694
2;PAULA;6678
2;KATY;6672
1;BARTHELEMY;6669
2;AMANDA;6658
2;CHLOE;6637
1;EDGARD;6619
1;WALTER;6607
1;EWAN;6580
1;ARMEL;6542
2;LILY-ROSE;6542
2;NOELLA;6527
1;GINO;6520
1;MATIS;6505
2;RACHIDA;6502
2;MAGDELEINE;6500
2;LOU-ANN;6495
2;SALIMA;6485
2;DORINE;6480
1;SULLIVAN;6479
2;AÏCHA;6465
2;MAÏSSA;6457
2;BERANGERE;6405
2;ALIYA;6376
1;JOANNES;6362
1;STEPHEN;6358
1;YOUCEF;6341
1;COLIN;6321
1;SAM;6321
1;ISSAM;6312
1;WARREN;6307
1;ISIDORE;6301
2;LALY;6276
2;NOA;6263
1;ABDALLAH;6239
2;SÉRÉNA;6226
2;LOUISON;6222
1;PIERRE-LOUIS;6216
1;EZIO;6195
2;MÉLINE;6177
1;TOMMY;6168
2;CHAIMA;6167
2;ANNE-CLAIRE;6133
2;NORAH;6104
2;OLYMPE;6104
1;ISMAIL;6097
2;SOLENN;6090
2;DESIREE;6089
2;MAISSA;6081
2;MERIEM;6076
1;MOUNIR;6067
2;MONA;6061
2;ELÉONORE;6048
1;THIAGO;6028
1;OMER;6021
1;SOFIAN;6016
2;HAWA;6015
2;CLOTHILDE;5991
2;STACY;5987
2;BÉNÉDICTE;5985
1;FRANTZ;5974
2;CELESTE;5947
1;MATHURIN;5932
2;EULALIE;5915
2;GINA;5882
1;GWENDAL;5880
2;HALIMA;5879
1;SWANN;5864
2;CÉLESTE;5850
2;ROSETTE;5847
2;MARILOU;5845
2;AURIANE;5833
1;ADRIAN;5832
2;GWLADYS;5832
2;MARY;5830
1;HARRY;5826
1;SELIM;5815
1;HICHAM;5813
1;KAIS;5812
2;ALYCIA;5811
1;MATTEO;5796
1;LOHAN;5795
2;EMA;5790
